search_term,sp500no,Company Name,link
Robert Half International,392,Robert Half International Inc.,https://www.youtube.com/user/RobertHalfNA
Ralph Lauren,394,Ralph Lauren Corporation Class A,https://www.youtube.com/c/RalphLauren
Rockwell Automation,396,"Rockwell Automation, Inc.",https://www.youtube.com/c/RockwellautomationInc
Raytheon Technologies,401,Raytheon Technologies Corporation,https://www.youtube.com/c/raytheontechnologies
Starbucks,403,Starbucks Corporation,https://www.youtube.com/c/starbucks
Charles Schwab,404,Charles Schwab Corporation,https://www.youtube.com/user/CharlesSchwab
Sealed Air Corporation,405,Sealed Air Corporation,https://www.youtube.com/user/SealedAirCorp
Sherwin-Williams,406,Sherwin-Williams Company,http://www.youtube.com/user/sherwinwilliams
SVB Financial Group,407,SVB Financial Group,https://www.youtube.com/user/SVBFinancialGroup
Schlumberger NV,409,Schlumberger NV,https://www.youtube.com/channel/UCGtrayO1fyGx4HFvyy29JhA
Snap-on Incorporated,410,Snap-on Incorporated,https://www.youtube.com/user/snaponscanner
Synopsys,411,"Synopsys, Inc.",https://www.youtube.com/user/synopsys
Southern,412,Southern Company,https://www.youtube.com/user/socompany
S&P Global,414,"S&P Global, Inc.",https://www.youtube.com/c/spglobal
STERIS,416,STERIS Plc,https://www.youtube.com/user/STERISCorporation/videos
State Street,417,State Street Corporation,https://www.youtube.com/c/StateStreetCorp
Seagate Technology Holdings,418,Seagate Technology Holdings PLC,http://www.youtube.com/user/SeagateTechnology
Stanley Black & Decker,420,"Stanley Black & Decker, Inc.",https://www.youtube.com/user/StanleyBlackDecker
Stryker,423,Stryker Corporation,http://www.youtube.com/user/stryker
Sysco,424,Sysco Corporation,https://www.youtube.com/c/sysco
AT&T,425,AT&T Inc.,https://www.youtube.com/c/ATT
Teledyne Technologies Incorporated,428,Teledyne Technologies Incorporated,https://www.youtube.com/user/DALSACorp
TE Connectivity,429,TE Connectivity Ltd.,https://www.youtube.com/c/teconnectivity
Truist Financial,431,Truist Financial Corporation,https://www.youtube.com/channel/UC10Dmvy2Ih93O8hCg_UYN6w
Teleflex Incorporated,432,Teleflex Incorporated,https://www.youtube.com/channel/UCVlKnnePtp3n5XKQuLDffpA
Target,433,Target Corporation,https://www.youtube.com/user/target
TJX,434,TJX Companies Inc,https://www.youtube.com/c/tjmaxx
Thermo Fisher Scientific,435,Thermo Fisher Scientific Inc.,https://www.youtube.com/channel/UCfUs2fCDhx07fkszsJ0jOcA
T. Rowe Price Group,439,T. Rowe Price Group,https://www.youtube.com/user/TRowePriceGroup
Travelers,440,"Travelers Companies, Inc.",https://www.youtube.com/user/TravelersInsurance
Tractor Supply,441,Tractor Supply Company,https://www.youtube.com/user/TSCTractorSupply
Tesla,442,Tesla Inc,https://www.youtube.com/channel/UC5WjFrtBdufl6CZojX3D8dQ
Tyson Foods,443,"Tyson Foods, Inc. Class A",https://www.youtube.com/user/TysonCommunity
Twitter,446,"Twitter, Inc.",https://www.youtube.com/c/twitter
